a,b,c,d,e,f
Model_A_0,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_0/27149319,0.9551505,0.99603075,training_0.log
Model_A_1,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_1/27180150,0.89588135,0.9208273,training_0.log
Model_A_2,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_2/27180159,0.8964844,0.9453935,training_1.log
Model_A_3,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_3/27345550,0.88731277,0.9456408,training_0.log
Model_A_4,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_4/27149346,0.9445168,0.9953827,training_1.log
Model_A_5,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_5/27149352,0.9356999,0.9922752,training_0.log
Model_A_6,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_6/27149375,0.9434764,0.99382913,training_0.log
Model_A_7,2,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_7/27149383,0.90913016,0.96932554,training_2.log
Model_A_8,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_8/27149388,0.9404522,0.9909956,training_0.log
Model_A_9,2,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_9/27345555,0.94827837,0.99487865,training_2.log
Model_B_0,2,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_0/27345767,0.9420573,0.99315953,training_2.log
Model_B_1,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_1/27371037,0.9551505,0.9980649,training_1.log
Model_B_2,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_2/27371072,0.91681135,0.97289026,training_1.log
Model_B_3,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_3/27212657,0.94292533,0.99485165,training_1.log
Model_B_4,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_4/27212658,0.94024885,0.9930155,training_0.log
Model_B_5,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_5/27371101,0.9357719,0.99048287,training_1.log
Model_B_6,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_6/27212663,0.94538486,0.99487865,training_0.log
Model_B_7,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_7/27212667,0.9539207,0.9980379,training_1.log
Model_B_8,4,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_8/27392033,0.92693865,0.9892443,training_4.log
Model_B_9,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_9/27392040,0.9450955,0.99473464,training_1.log
Model_C_0,3,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_0/27392068,0.9389468,0.99434763,training_3.log
Model_C_1,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_1/27392071,0.94769967,0.9932496,training_1.log
Model_C_2,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_2/27242692,0.9429977,0.9924125,training_1.log
Model_C_3,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_3/27346314,0.9384404,0.99436563,training_0.log
Model_C_4,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_4/27402031,0.93967015,0.9928085,training_0.log
Model_C_5,2,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_5/27282739,0.9378617,0.9903514,training_2.log
Model_C_6,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_6/27282743,0.94140625,0.9915125,training_0.log
Model_C_7,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_7/27511300,0.94408274,0.9932946,training_0.log
Model_C_8,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_8/27511362,0.94401044,0.99487865,training_1.log
Model_C_9,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_9/27511376,0.94372106,0.99456364,training_0.log
Model_D_0,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_0/27528971,0.94256365,0.9933396,training_1.log
Model_D_1,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_1/27545522,0.9492911,0.9954007,training_1.log
Model_D_2,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_2/27578524,0.94632524,0.99636376,training_0.log
Model_D_3,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_3/27528978,0.9340278,0.9901804,training_1.log
Model_D_4,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_4/27528980,0.9418403,0.99602175,training_0.log
Model_D_5,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_5/27528983,0.9406105,0.99441963,training_1.log
Model_D_6,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_6/27512008,0.9466869,0.9939156,training_1.log
Model_D_7,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_7/27578530,0.9406829,0.9928355,training_1.log
Model_D_8,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_8/27512034,0.94256365,0.9911344,training_1.log
Model_D_9,1,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_9/27529001,0.94176793,0.99498665,training_1.log
Model_E_0,2,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_0/27546608,0.9420573,0.9922955,training_2.log
Model_E_1,4,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_1/27650415,0.94690394,0.99567074,training_4.log
Model_E_2,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_2/27621210,0.9074074,0.9773275,training_0.log
Model_E_3,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_3/27546625,0.9392361,0.9952567,training_0.log
Model_E_4,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_4/27546488,0.93272567,0.99453664,training_0.log
Model_E_5,2,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_5/27622229,0.93214697,0.98707515,training_2.log
Model_E_6,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_6/27546507,0.94285303,0.99465364,training_0.log
Model_E_7,4,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_7/27650420,0.9450955,0.99760586,training_4.log
Model_E_8,3,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_8/27650421,0.91160303,0.96325064,training_3.log
Model_E_9,0,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_9/27546649,0.94466144,0.99438363,training_0.log
