a,b,c,d,e,f
Model_A_0,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_A/Model_A_0/28364386,0.9630964,0.97805744,training_0.log
Model_A_1,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_A/Model_A_1/28392534,0.96607673,0.9826111,training_0.log
Model_A_2,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_A/Model_A_2/28364399,0.95816314,0.98063505,training_0.log
Model_A_3,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_A/Model_A_3/28392501,0.9697615,0.9848478,training_0.log
Model_A_4,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_A/Model_A_4/28364413,0.9710023,0.9857592,training_0.log
Model_A_5,1,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_A/Model_A_5/28491811,0.9628386,0.97814256,training_1.log
Model_A_6,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_A/Model_A_6/28491849,0.9630727,0.9810913,training_0.log
Model_A_7,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_A/Model_A_7/28491869,0.9669135,0.9810704,training_0.log
Model_A_8,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_A/Model_A_8/28491876,0.96544695,0.98164445,training_0.log
Model_A_9,1,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_A/Model_A_9/28491896,0.9707307,0.9821748,training_1.log
Model_B_0,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_B/Model_B_0/28392663,0.96569276,0.9822098,training_0.log
Model_B_1,2,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_B/Model_B_1/28417393,0.9631456,0.9802225,training_2.log
Model_B_2,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_B/Model_B_2/28392693,0.9602866,0.9806013,training_0.log
Model_B_3,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_B/Model_B_3/28392699,0.96520925,0.9783904,training_0.log
Model_B_4,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_B/Model_B_4/28392701,0.966348,0.98023766,training_0.log
Model_B_5,1,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_B/Model_B_5/28392746,0.96734357,0.98215365,training_1.log
Model_B_6,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_B/Model_B_6/28392748,0.96255845,0.9808835,training_0.log
Model_B_7,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_B/Model_B_7/28392750,0.968007,0.986124,training_0.log
Model_B_8,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_B/Model_B_8/28392751,0.9596651,0.9765156,training_0.log
Model_B_9,1,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_B/Model_B_9/28392765,0.96752816,0.98386717,training_1.log
Model_C_0,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_C/Model_C_0/28417776,0.962148,0.97518575,training_0.log
Model_C_1,1,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_C/Model_C_1/28506974,0.9604939,0.9812324,training_1.log
Model_C_2,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_C/Model_C_2/28417796,0.95262456,0.97306,training_0.log
Model_C_3,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_C/Model_C_3/28520798,0.9634771,0.9765621,training_0.log
Model_C_4,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_C/Model_C_4/28417814,0.9663351,0.97845966,training_0.log
Model_C_5,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_C/Model_C_5/28506989,0.9678817,0.9814791,training_0.log
Model_C_6,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_C/Model_C_6/28392925,0.9650479,0.9798143,training_0.log
Model_C_7,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_C/Model_C_7/28392929,0.9649156,0.9775228,training_0.log
Model_C_8,2,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_C/Model_C_8/28392931,0.96481544,0.9815742,training_2.log
Model_C_9,3,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_C/Model_C_9/28506995,0.9653693,0.980789,training_3.log
Model_D_0,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_D/Model_D_0/28418254,0.95714176,0.97053534,training_0.log
Model_D_1,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_D/Model_D_1/28418262,0.95730275,0.97770983,training_0.log
Model_D_2,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_D/Model_D_2/28418276,0.9588386,0.97669345,training_0.log
Model_D_3,1,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_D/Model_D_3/28520821,0.9618072,0.97663236,training_1.log
Model_D_4,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_D/Model_D_4/28418300,0.9592418,0.9727445,training_0.log
Model_D_5,1,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_D/Model_D_5/28492649,0.9623172,0.9774058,training_1.log
Model_D_6,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_D/Model_D_6/28418320,0.96350145,0.97971576,training_0.log
Model_D_7,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_D/Model_D_7/28418327,0.9552604,0.97204226,training_0.log
Model_D_8,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_D/Model_D_8/28418337,0.95598775,0.97731733,training_0.log
Model_D_9,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_D/Model_D_9/28539040,0.9676219,0.9794853,training_0.log
Model_E_0,1,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_E/Model_E_0/28492251,0.9607624,0.97724587,training_1.log
Model_E_1,1,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_E/Model_E_1/28492257,0.95570886,0.973552,training_1.log
Model_E_2,2,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_E/Model_E_2/28477103,0.9509789,0.97051996,training_2.log
Model_E_3,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_E/Model_E_3/28477106,0.9650442,0.97870415,training_0.log
Model_E_4,1,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_E/Model_E_4/28477107,0.96268713,0.9743037,training_1.log
Model_E_5,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_E/Model_E_5/28418872,0.95708,0.9743356,training_0.log
Model_E_6,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_E/Model_E_6/28418882,0.96150595,0.97661555,training_0.log
Model_E_7,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_E/Model_E_7/28418888,0.96088064,0.9741095,training_0.log
Model_E_8,0,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_E/Model_E_8/28418894,0.9632465,0.98026776,training_0.log
Model_E_9,1,/global/cscratch1/sd/muszyng/cnn_model_runs/regression/Model_E/Model_E_9/28492391,0.9612159,0.9732792,training_1.log
