a,b,c,d,e,f,g
Model_A,Model_A_0,Model_A,0,0.99603075,0.9551505,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_0/27149319
Model_A,Model_A_0,Model_A,1,0.99552673,0.9513889,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_0/27149319
Model_A,Model_A_0,Model_A,2,0.99116653,0.9441244,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_0/27149319
Model_A,Model_A_0,Model_A,3,0.9764725,0.93012154,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_0/27149319
Model_A,Model_A_0,Model_A,4,0.9938706,0.9502315,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_0/27149319
Model_A,Model_A_1,Model_A,0,0.9208273,0.89588135,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_1/27180150
Model_A,Model_A_1,Model_A,1,0.9405962,0.90675634,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_1/27180150
Model_A,Model_A_1,Model_A,3,0.90201974,0.8786892,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_1/27180150
Model_A,Model_A_1,Model_A,0,0.9202729,0.8926505,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_1/27149324
Model_A,Model_A_1,Model_A,1,0.92696935,0.8909144,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_1/27149324
Model_A,Model_A_1,Model_A,3,0.9392011,0.90407985,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_1/27149324
Model_A,Model_A_1,Model_A,4,0.9303127,0.89580935,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_1/27149324
Model_A,Model_A_2,Model_A,0,0.8663399,0.8530386,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_2/27149330
